Stock Name,Stock Code,Issuer Name,Facility Name,Outstanding Amount,Recent Trade Statistics,Unnamed: 6,Unnamed: 7,Trade Liquidity Score,Unnamed: 9,Unnamed: 10,Composite Liquidity Score (5.0 - Most Liquid),Unnamed: 12
,,,,,Last Trade Date,No. of Trades,Turnover Ratio,Trade Recency,Trade Frequency,Trade Turnover,,Date
AEON CREDIT SENIOR SUKUK (SERIES 1 TRANCHE 1),PK200003,AEON Credit Service (M) Berhad,AEON CREDIT RM2.0 BILLION SUKUK WAKALAH PROGRAMME (SENIOR SUKUK),300.0,2023-04-28 00:00:00,1,0.017,4,1,2,2.3,2023-05-15 00:00:00
AEON CREDIT SENIOR SUKUK (SERIES 1 TRANCHE 2),PL200002,AEON Credit Service (M) Berhad,AEON CREDIT RM2.0 BILLION SUKUK WAKALAH PROGRAMME (SENIOR SUKUK),200.0,2023-04-19 00:00:00,4,0.054,4,1,4,3.0,2023-05-15 00:00:00
AEON CREDIT SUB SUKUK (SERIES 2 TRANCHE 1),PN200005,AEON Credit Service (M) Berhad,AEON CREDIT RM2.0 BILLION SUKUK WAKALAH PROGRAMME (SUBORDINATED SUKUK),200.0,2023-05-08 00:00:00,2,0.003,4,1,1,2.0,2023-05-15 00:00:00
AGROBANK IMTN 3.900% 02.11.2028,VK210391,Bank Pertanian Malaysia Berhad,AGROBANK RM1.0 BILLION PERPETUAL IMTN PROGRAMME,300.0,2023-05-10 00:00:00,2,0.033,4,1,3,2.7,2023-05-15 00:00:00
AIBB IMTN2 T2 SUKUK MURABAHAH,VN180292,Affin Islamic Bank Berhad,AFFIN ISLAMIC PERPETUAL TIER 2 SUKUK MURABAHAH,800.0,2023-05-11 00:00:00,2,0.013,5,1,2,2.7,2023-05-15 00:00:00
AIBB IMTN4 SENIOR SUKUK MURABAHAH,VI220483,Affin Islamic Bank Berhad,AFFIN ISLAMIC PERPETUAL SENIOR SUKUK MURABAHAH,520.0,2023-05-17 00:00:00,5,0.021,5,1,3,3.0,2023-05-15 00:00:00
AISL 4.100% 27.03.2025,PI200007,AmBank Islamic Berhad,AmIslamic RM3.0B Senior Sukuk Musyarakah,800.0,2023-05-08 00:00:00,2,0.038,4,1,4,3.0,2023-05-15 00:00:00
BPMB IMTN 2.800% 10.10.2025,VI200223,Bank Pembangunan Malaysia Berhad,BPMB RM5.0 BILLION IMTN SUKUK WAKALAH,385.0,2023-05-10 00:00:00,2,0.026,4,1,3,2.7,2023-05-15 00:00:00
BPMB IMTN 3.180% 11.10.2030,VN200225,Bank Pembangunan Malaysia Berhad,BPMB RM5.0 BILLION IMTN SUKUK WAKALAH,280.0,2023-04-28 00:00:00,2,0.036,4,1,4,3.0,2023-05-15 00:00:00
BPMB IMTN 3.250% 08.06.2026,VI210220,Bank Pembangunan Malaysia Berhad,BPMB RM5.0 BILLION IMTN SUKUK WAKALAH,480.0,2023-04-19 00:00:00,3,0.031,4,1,3,2.7,2023-05-15 00:00:00
BPMB IMTN 3.600% 08.06.2028,VK210219,Bank Pembangunan Malaysia Berhad,BPMB RM5.0 BILLION IMTN SUKUK WAKALAH,70.0,2023-04-19 00:00:00,3,0.429,4,1,5,3.3,2023-05-15 00:00:00
BPMB IMTN 3.950% 25.10.2028,VK210383,Bank Pembangunan Malaysia Berhad,BPMB RM5.0 BILLION IMTN SUKUK WAKALAH,450.0,2023-05-16 00:00:00,2,0.022,5,1,3,3.0,2023-05-15 00:00:00
