"BASE_DATE","PROD_CODE","BOND_CODE","RATING_AGENCY","BIR","RATING","NOTCH_VARIANCE"
28/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A- IS",2
28/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
28/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
28/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
28/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
28/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
28/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
28/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
28/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
28/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
28/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
28/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
28/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
28/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
28/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
28/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
28/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
28/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
28/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
28/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
28/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
28/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
28/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
28/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
28/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
28/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
27/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A- IS",2
27/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
27/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
27/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
27/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
27/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
27/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
27/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
27/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
27/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
27/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
27/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
27/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
27/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
27/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
27/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
27/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
27/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
27/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
27/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
27/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
27/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
27/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
27/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
27/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
27/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
26/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A- IS",2
26/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
26/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
26/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
26/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
26/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
26/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
26/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
26/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
26/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
26/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
26/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
26/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
26/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
26/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
26/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
26/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
26/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
26/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
26/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
26/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
26/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
26/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
26/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
26/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
26/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
25/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A- IS",2
25/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
25/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
25/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
25/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
25/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
25/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
25/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
25/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
25/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
25/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
25/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
25/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
25/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
25/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
25/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
25/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
25/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
25/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
25/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
25/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
25/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
25/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
25/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
25/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
25/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
20/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A- IS",2
20/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
20/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
20/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
20/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
20/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
20/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
20/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
20/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
20/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
20/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
20/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
20/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
20/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
20/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
20/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
20/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
20/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
20/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
20/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
20/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
20/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
20/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
20/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
20/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
20/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
19/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A- IS",2
19/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
19/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
19/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
19/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
19/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
19/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
19/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
19/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
19/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
19/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
19/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
19/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
19/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
19/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
19/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
19/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
19/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
19/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
19/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
19/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
19/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
19/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
19/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
19/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
19/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
18/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A- IS",2
18/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
18/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
18/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
18/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
18/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
18/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
18/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
18/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
18/04/2023,"VH22002621012026","VH220026","208095U","1050","A2",-1
18/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
18/04/2023,"VT22003021012038","VT220030","208095U","1050","A2",-1
18/04/2023,"VZ20002103032119","VZ200021","364803V","1050","A IS",1
18/04/2023,"PZ19001125092119","PZ190011","364803V","1060","A IS",2
18/04/2023,"VI18029426102023","VI180294","208095U","1030","AA3",1
